State,$,(,),:,;,=,ad,an,cm,do,dv,el,eq,if,lg,ls,md,ml,ng,nk,nm,np,nt,nu,or,pr,rt,sb,sr,th,un,vd,wh,{,}
97,,,,,,,s57,,,,s60,,,,,,s56,s59,s61,,s53,,,s54,,,,s58,,,,,,,
98,,,,,,,s57,,,,s60,,,,,,s56,s59,s61,,s53,,,s54,,,,s58,,,,,,,
99,,,,,,,s57,,,,s60,,,,,,s56,s59,s61,,s53,,,s54,,,,s58,,,,,,,
100,,,,,,,s57,,,,s60,,,,,,s56,s59,s61,,s53,,,s54,,,,s58,,,,,,,
101,,,s118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s119
103,,,r34,,r34,,,r34,,r34,,,r34,,r34,r34,,,,,,,r34,,r34,,,,,r34,,,,,
104,,,s120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,s121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,s122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,s123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,s124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s125
110,,,,,,,,s42,,,,,s44,,s45,s46,,,,,,,s41,,s43,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,s127,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,s128,,,,,,,,
113,,,s129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,s130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,s131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,s132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,s133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,r32,,r32,,r32,,,,r32,,,,,,r32,r32,r32,,r32,,,r32,,,,r32,,,,,,,
119,,,,,,,,,,,,s134,,,,,,,,,,,,,,,,,,,,,,,
120,,,r35,,r35,,,r35,,r35,,,r35,,r35,r35,,,,,,,r35,,r35,,,,,r35,,,,,
121,,,r36,,r36,,,r36,,r36,,,r36,,r36,r36,,,,,,,r36,,r36,,,,,r36,,,,,
122,,,r37,,r37,,,r37,,r37,,,r37,,r37,r37,,,,,,,r37,,r37,,,,,r37,,,,,
123,,,r38,,r38,,,r38,,r38,,,r38,,r38,r38,,,,,,,r38,,r38,,,,,r38,,,,,
124,,,r39,,r39,,,r39,,r39,,,r39,,r39,r39,,,,,,,r39,,r39,,,,,r39,,,,,
125,,,,,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s135
128,,s136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,r27,,r27,,r27,,,,r27,,,,,,r27,r27,r27,,r27,,,r27,,,,r27,,,,,,,
130,,,r28,,r28,,r28,,,,r28,,,,,,r28,r28,r28,,r28,,,r28,,,,r28,,,,,,,
131,,,r29,,r29,,r29,,,,r29,,,,,,r29,r29,r29,,r29,,,r29,,,,r29,,,,,,,
132,,,r30,,r30,,r30,,,,r30,,,,,,r30,r30,r30,,r30,,,r30,,,,r30,,,,,,,
133,,,r31,,r31,,r31,,,,r31,,,,,,r31,r31,r31,,r31,,,r31,,,,r31,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s137,
135,,,,r7,,,,,,,,,,,,,,,,r7,,,,,,,,,,,,r7,,,
136,,,,,,,s57,,,,s60,,,,,,s56,s59,s61,,s53,,,s54,,,,s58,,,,,,,
137,r9,,,,,,,,s20,s28,,,,s26,,,,,,,s25,s19,,,,s18,r9,,,,s30,,s29,,r9
138,,,s140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s141
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s142
141,,,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,r8,,,,,,,,,,,,,,,,r8,,,,,,,,,,,,r8,,,
